BS_ID	File ID	File Name	File volume	File location
BS_Q6GVRAWK	624309c25638100a011ac0a0	c5932707-753a-4830-bcc4-3d92cb2992c5.mutect2_somatic.norm.annot.protected.vcf.gz	kfdrc-harmonization/sd_8y99qzjj	harmonized-data/simple-variants/c5932707-753a-4830-bcc4-3d92cb2992c5.mutect2_somatic.norm.annot.protected.vcf.gz
BS_Q6GVRAWK	624309c25638100a011ac214	c5932707-753a-4830-bcc4-3d92cb2992c5.mutect2_somatic.norm.annot.protected.vcf.gz.tbi	kfdrc-harmonization/sd_8y99qzjj	harmonized-data/simple-variants/c5932707-753a-4830-bcc4-3d92cb2992c5.mutect2_somatic.norm.annot.protected.vcf.gz.tbi
BS_Q6GVRAWK	624309c25638100a011ac245	c5932707-753a-4830-bcc4-3d92cb2992c5.mutect2_somatic.norm.annot.public.vcf.gz	kfdrc-harmonization/sd_8y99qzjj	harmonized-data/simple-variants/c5932707-753a-4830-bcc4-3d92cb2992c5.mutect2_somatic.norm.annot.public.vcf.gz
BS_Q6GVRAWK	624309c25638100a011ac166	c5932707-753a-4830-bcc4-3d92cb2992c5.mutect2_somatic.norm.annot.public.vcf.gz.tbi	kfdrc-harmonization/sd_8y99qzjj	harmonized-data/simple-variants/c5932707-753a-4830-bcc4-3d92cb2992c5.mutect2_somatic.norm.annot.public.vcf.gz.tbi
BS_A6YJ3WG2	624309c25638100a011ac209	c6208373-17e2-4753-b646-e9fd454be3d2.lancet_somatic.norm.annot.protected.maf	kfdrc-harmonization/sd_8y99qzjj	harmonized-data/simple-variants/c6208373-17e2-4753-b646-e9fd454be3d2.lancet_somatic.norm.annot.protected.maf
BS_A6YJ3WG2	624309c25638100a011ac25d	c6208373-17e2-4753-b646-e9fd454be3d2.lancet_somatic.norm.annot.public.maf	kfdrc-harmonization/sd_8y99qzjj	harmonized-data/simple-variants/c6208373-17e2-4753-b646-e9fd454be3d2.lancet_somatic.norm.annot.public.maf
BS_A6YJ3WG2	624309c25638100a011ac1bb	c6208373-17e2-4753-b646-e9fd454be3d2.mutect2_somatic.norm.annot.protected.maf	kfdrc-harmonization/sd_8y99qzjj	harmonized-data/simple-variants/c6208373-17e2-4753-b646-e9fd454be3d2.mutect2_somatic.norm.annot.protected.maf
BS_A6YJ3WG2	624309c25638100a011ac231	c6208373-17e2-4753-b646-e9fd454be3d2.mutect2_somatic.norm.annot.public.maf	kfdrc-harmonization/sd_8y99qzjj	harmonized-data/simple-variants/c6208373-17e2-4753-b646-e9fd454be3d2.mutect2_somatic.norm.annot.public.maf
BS_A6YJ3WG2	624309c25638100a011ac1c6	c6208373-17e2-4753-b646-e9fd454be3d2.strelka2_somatic.norm.annot.protected.maf	kfdrc-harmonization/sd_8y99qzjj	harmonized-data/simple-variants/c6208373-17e2-4753-b646-e9fd454be3d2.strelka2_somatic.norm.annot.protected.maf
BS_A6YJ3WG2	624309c25638100a011ac257	c6208373-17e2-4753-b646-e9fd454be3d2.strelka2_somatic.norm.annot.public.maf	kfdrc-harmonization/sd_8y99qzjj	harmonized-data/simple-variants/c6208373-17e2-4753-b646-e9fd454be3d2.strelka2_somatic.norm.annot.public.maf
BS_A6YJ3WG2	624309c25638100a011ac1b8	c6208373-17e2-4753-b646-e9fd454be3d2.vardict_somatic.norm.annot.protected.maf	kfdrc-harmonization/sd_8y99qzjj	harmonized-data/simple-variants/c6208373-17e2-4753-b646-e9fd454be3d2.vardict_somatic.norm.annot.protected.maf
BS_A6YJ3WG2	624309c25638100a011ac22c	c6208373-17e2-4753-b646-e9fd454be3d2.vardict_somatic.norm.annot.public.maf	kfdrc-harmonization/sd_8y99qzjj	harmonized-data/simple-variants/c6208373-17e2-4753-b646-e9fd454be3d2.vardict_somatic.norm.annot.public.maf
BS_169P1QCA	624309c25638100a011ac1db	c624d904-967e-4056-a7b1-50c94aeceebb.lancet_somatic.norm.annot.protected.vcf.gz	kfdrc-harmonization/sd_8y99qzjj	harmonized-data/simple-variants/c624d904-967e-4056-a7b1-50c94aeceebb.lancet_somatic.norm.annot.protected.vcf.gz
BS_169P1QCA	624309c25638100a011ac283	c624d904-967e-4056-a7b1-50c94aeceebb.lancet_somatic.norm.annot.protected.vcf.gz.tbi	kfdrc-harmonization/sd_8y99qzjj	harmonized-data/simple-variants/c624d904-967e-4056-a7b1-50c94aeceebb.lancet_somatic.norm.annot.protected.vcf.gz.tbi
BS_169P1QCA	624309c25638100a011ac1fd	c624d904-967e-4056-a7b1-50c94aeceebb.lancet_somatic.norm.annot.public.vcf.gz	kfdrc-harmonization/sd_8y99qzjj	harmonized-data/simple-variants/c624d904-967e-4056-a7b1-50c94aeceebb.lancet_somatic.norm.annot.public.vcf.gz
BS_169P1QCA	624309c25638100a011ac1cb	c624d904-967e-4056-a7b1-50c94aeceebb.lancet_somatic.norm.annot.public.vcf.gz.tbi	kfdrc-harmonization/sd_8y99qzjj	harmonized-data/simple-variants/c624d904-967e-4056-a7b1-50c94aeceebb.lancet_somatic.norm.annot.public.vcf.gz.tbi
BS_CX6KACX6	624309c25638100a011ac1bc	c6fb33c4-496b-4612-a1c0-fe278a7a3fc3.vardict_somatic.norm.annot.protected.vcf.gz	kfdrc-harmonization/sd_8y99qzjj	harmonized-data/simple-variants/c6fb33c4-496b-4612-a1c0-fe278a7a3fc3.vardict_somatic.norm.annot.protected.vcf.gz
BS_CX6KACX6	624309c25638100a011ac1c0	c6fb33c4-496b-4612-a1c0-fe278a7a3fc3.vardict_somatic.norm.annot.protected.vcf.gz.tbi	kfdrc-harmonization/sd_8y99qzjj	harmonized-data/simple-variants/c6fb33c4-496b-4612-a1c0-fe278a7a3fc3.vardict_somatic.norm.annot.protected.vcf.gz.tbi
BS_CX6KACX6	624309c25638100a011ac24b	c6fb33c4-496b-4612-a1c0-fe278a7a3fc3.vardict_somatic.norm.annot.public.vcf.gz	kfdrc-harmonization/sd_8y99qzjj	harmonized-data/simple-variants/c6fb33c4-496b-4612-a1c0-fe278a7a3fc3.vardict_somatic.norm.annot.public.vcf.gz
BS_CX6KACX6	624309c25638100a011ac1b9	c6fb33c4-496b-4612-a1c0-fe278a7a3fc3.vardict_somatic.norm.annot.public.vcf.gz.tbi	kfdrc-harmonization/sd_8y99qzjj	harmonized-data/simple-variants/c6fb33c4-496b-4612-a1c0-fe278a7a3fc3.vardict_somatic.norm.annot.public.vcf.gz.tbi
BS_JRFVST47	624309c25638100a011ac22e	c74b09bb-f478-4e61-beef-09b6b68e31cf.strelka2_somatic.norm.annot.protected.vcf.gz	kfdrc-harmonization/sd_8y99qzjj	harmonized-data/simple-variants/c74b09bb-f478-4e61-beef-09b6b68e31cf.strelka2_somatic.norm.annot.protected.vcf.gz
BS_JRFVST47	624309c25638100a011ac205	c74b09bb-f478-4e61-beef-09b6b68e31cf.strelka2_somatic.norm.annot.protected.vcf.gz.tbi	kfdrc-harmonization/sd_8y99qzjj	harmonized-data/simple-variants/c74b09bb-f478-4e61-beef-09b6b68e31cf.strelka2_somatic.norm.annot.protected.vcf.gz.tbi
BS_JRFVST47	624309c25638100a011ac0b8	c74b09bb-f478-4e61-beef-09b6b68e31cf.strelka2_somatic.norm.annot.public.vcf.gz	kfdrc-harmonization/sd_8y99qzjj	harmonized-data/simple-variants/c74b09bb-f478-4e61-beef-09b6b68e31cf.strelka2_somatic.norm.annot.public.vcf.gz
BS_JRFVST47	624309c25638100a011ac215	c74b09bb-f478-4e61-beef-09b6b68e31cf.strelka2_somatic.norm.annot.public.vcf.gz.tbi	kfdrc-harmonization/sd_8y99qzjj	harmonized-data/simple-variants/c74b09bb-f478-4e61-beef-09b6b68e31cf.strelka2_somatic.norm.annot.public.vcf.gz.tbi
BS_AF5D41PD	624309c25638100a011ac0c4	c7eb4718-84e8-4c05-9e4f-c4da70f6178a.consensus_somatic.protected.maf	kfdrc-harmonization/sd_8y99qzjj	harmonized-data/simple-variants/c7eb4718-84e8-4c05-9e4f-c4da70f6178a.consensus_somatic.protected.maf
BS_AF5D41PD	624309c25638100a011ac25a	c7eb4718-84e8-4c05-9e4f-c4da70f6178a.consensus_somatic.protected.vcf.gz	kfdrc-harmonization/sd_8y99qzjj	harmonized-data/simple-variants/c7eb4718-84e8-4c05-9e4f-c4da70f6178a.consensus_somatic.protected.vcf.gz
BS_AF5D41PD	624309c25638100a011ac240	c7eb4718-84e8-4c05-9e4f-c4da70f6178a.consensus_somatic.protected.vcf.gz.tbi	kfdrc-harmonization/sd_8y99qzjj	harmonized-data/simple-variants/c7eb4718-84e8-4c05-9e4f-c4da70f6178a.consensus_somatic.protected.vcf.gz.tbi
BS_AF5D41PD	624309c25638100a011ac204	c7eb4718-84e8-4c05-9e4f-c4da70f6178a.consensus_somatic.public.maf	kfdrc-harmonization/sd_8y99qzjj	harmonized-data/simple-variants/c7eb4718-84e8-4c05-9e4f-c4da70f6178a.consensus_somatic.public.maf
